Member ID,Signup Date,Membership Type,Monthly Fee,Sessions Attended,Personal Training Package,Cancellation Status,Age Group,Referral Source
1,11/24/2025,Basic,$29.99,23,No,No,25-34,Google
2,02/22/2025,Basic,29.99,13,Yes,Yes,18-24,Google
3,04/30/2025,Basic,29.99,6,,,55+,Friend
4,04/23/2025,Family,89.99,8,Yes,No,45-54,Walk-in
5,05/23/2025,Premium,$59.99,30,No,Yes,18-24,Friend
6,02/19/2025,Student,24.99,19,No,Yes,45-54,Facebook
7,03/05/2025,Family,$89.99,17,No,,55+,Walk-in
8,10/23/2025,Premium,59.99,2,Yes,,25-34,Walk-in
9,02/10/2025,Premium,$59.99,12,No,YES,35-44,Google
10,07/09/2025,Student,$24.99,21,No,,18-24,Facebook
11,11/22/2025,Premium,59.99,23,Yes,No,45-54,Friend
12,05/19/2025,Premium,59.99,10,Yes,No,18-24,Walk-in
13,07/25/2025,Student,$24.99,6,,,35-44,Google
14,09/13/2025,Family,89.99,14,Yes,no,25-34,Google
15,10/15/2025,Student,24.99,18,No,,45-54,Walk-in
16,04/23/2025,Premium,59.99,15,Yes,Yes,18-24,Google
17,11/18/2025,Premium,59.99,13,,Yes,45-54,Friend
18,11/02/2025,Family,89.99,8,,Yes,18-24,Facebook
19,05/17/2025,Student,$24.99,9,No,No,45-54,Instagram
20,05/15/2025,Premium,59.99,29,Yes,,35-44,Facebook
21,11/08/2025,Premium,$59.99,11,Yes,,55+,Instagram
22,11/03/2025,Student,24.99,0,Yes,no,35-44,Google
23,01/30/2025,Premium,59.99,30,Yes,Yes,45-54,Instagram
24,09/30/2025,Premium,$59.99,21,No,,25-34,Walk-in
25,09/28/2025,Family,$89.99,29,,,25-34,Walk-in
26,07/24/2025,Student,24.99,28,,YES,18-24,Google
27,04/26/2025,Basic,29.99,0,,,25-34,Facebook
28,04/23/2025,Basic,$29.99,22,,Yes,25-34,Instagram
29,01/17/2025,Student,$24.99,16,Yes,no,45-54,Google
30,10/04/2025,Premium,59.99,29,,,45-54,Google
31,08/31/2025,Family,$89.99,3,Yes,,45-54,Walk-in
32,08/05/2025,Family,89.99,27,,Yes,18-24,Instagram
33,07/26/2025,Student,$24.99,7,Yes,No,55+,Friend
34,03/13/2025,Family,$89.99,8,No,No,18-24,Friend
35,10/09/2025,Basic,$29.99,20,,Yes,18-24,Google
36,03/27/2025,Family,89.99,15,Yes,YES,18-24,Google
37,07/14/2025,Basic,29.99,8,No,no,45-54,Facebook
38,09/07/2025,Premium,$59.99,9,Yes,Yes,55+,Facebook
39,02/01/2025,Student,$24.99,1,,YES,55+,Facebook
40,03/22/2025,Basic,29.99,2,Yes,Yes,55+,Instagram
41,05/01/2025,Family,$89.99,30,,No,55+,Facebook
42,01/21/2025,Basic,29.99,21,,,55+,Walk-in
43,05/14/2025,Premium,59.99,22,No,No,35-44,Friend
44,03/09/2025,Student,24.99,10,Yes,Yes,45-54,Facebook
45,10/16/2025,Basic,$29.99,17,Yes,,35-44,Google
46,06/28/2025,Basic,$29.99,11,No,No,45-54,Facebook
