member_id,signup_date,membership_type,monthly_fee,sessions_attended,personal_training_package,cancellation_status,age_group,referral_source,cancelled,signup_month,low_attendance_risk
1,2025-11-24,Basic,29.99,23,No,no,25-34,Google,False,2025-11,False
2,2025-02-22,Basic,29.99,13,Yes,yes,18-24,Google,True,2025-02,False
3,2025-04-30,Basic,29.99,6,No,no,55+,Friend,False,2025-04,False
4,2025-04-23,Family,89.99,8,Yes,no,45-54,Walk-in,False,2025-04,False
5,2025-05-23,Premium,59.99,30,No,yes,18-24,Friend,True,2025-05,False
6,2025-02-19,Student,24.99,19,No,yes,45-54,Facebook,True,2025-02,False
7,2025-03-05,Family,89.99,17,No,no,55+,Walk-in,False,2025-03,False
8,2025-10-23,Premium,59.99,2,Yes,no,25-34,Walk-in,False,2025-10,True
9,2025-02-10,Premium,59.99,12,No,yes,35-44,Google,True,2025-02,False
10,2025-07-09,Student,24.99,21,No,no,18-24,Facebook,False,2025-07,False
11,2025-11-22,Premium,59.99,23,Yes,no,45-54,Friend,False,2025-11,False
12,2025-05-19,Premium,59.99,10,Yes,no,18-24,Walk-in,False,2025-05,False
13,2025-07-25,Student,24.99,6,No,no,35-44,Google,False,2025-07,False
14,2025-09-13,Family,89.99,14,Yes,no,25-34,Google,False,2025-09,False
15,2025-10-15,Student,24.99,18,No,no,45-54,Walk-in,False,2025-10,False
16,2025-04-23,Premium,59.99,15,Yes,yes,18-24,Google,True,2025-04,False
17,2025-11-18,Premium,59.99,13,No,yes,45-54,Friend,True,2025-11,False
18,2025-11-02,Family,89.99,8,No,yes,18-24,Facebook,True,2025-11,False
19,2025-05-17,Student,24.99,9,No,no,45-54,Instagram,False,2025-05,False
20,2025-05-15,Premium,59.99,29,Yes,no,35-44,Facebook,False,2025-05,False
21,2025-11-08,Premium,59.99,11,Yes,no,55+,Instagram,False,2025-11,False
22,2025-11-03,Student,24.99,0,Yes,no,35-44,Google,False,2025-11,True
23,2025-01-30,Premium,59.99,30,Yes,yes,45-54,Instagram,True,2025-01,False
24,2025-09-30,Premium,59.99,21,No,no,25-34,Walk-in,False,2025-09,False
25,2025-09-28,Family,89.99,29,No,no,25-34,Walk-in,False,2025-09,False
26,2025-07-24,Student,24.99,28,No,yes,18-24,Google,True,2025-07,False
27,2025-04-26,Basic,29.99,0,No,no,25-34,Facebook,False,2025-04,True
28,2025-04-23,Basic,29.99,22,No,yes,25-34,Instagram,True,2025-04,False
29,2025-01-17,Student,24.99,16,Yes,no,45-54,Google,False,2025-01,False
30,2025-10-04,Premium,59.99,29,No,no,45-54,Google,False,2025-10,False
31,2025-08-31,Family,89.99,3,Yes,no,45-54,Walk-in,False,2025-08,True
32,2025-08-05,Family,89.99,27,No,yes,18-24,Instagram,True,2025-08,False
33,2025-07-26,Student,24.99,7,Yes,no,55+,Friend,False,2025-07,False
34,2025-03-13,Family,89.99,8,No,no,18-24,Friend,False,2025-03,False
35,2025-10-09,Basic,29.99,20,No,yes,18-24,Google,True,2025-10,False
36,2025-03-27,Family,89.99,15,Yes,yes,18-24,Google,True,2025-03,False
37,2025-07-14,Basic,29.99,8,No,no,45-54,Facebook,False,2025-07,False
38,2025-09-07,Premium,59.99,9,Yes,yes,55+,Facebook,True,2025-09,False
39,2025-02-01,Student,24.99,1,No,yes,55+,Facebook,True,2025-02,True
40,2025-03-22,Basic,29.99,2,Yes,yes,55+,Instagram,True,2025-03,True
41,2025-05-01,Family,89.99,30,No,no,55+,Facebook,False,2025-05,False
42,2025-01-21,Basic,29.99,21,No,no,55+,Walk-in,False,2025-01,False
43,2025-05-14,Premium,59.99,22,No,no,35-44,Friend,False,2025-05,False
44,2025-03-09,Student,24.99,10,Yes,yes,45-54,Facebook,True,2025-03,False
45,2025-10-16,Basic,29.99,17,Yes,no,35-44,Google,False,2025-10,False
46,2025-06-28,Basic,29.99,11,No,no,45-54,Facebook,False,2025-06,False
47,2025-06-04,Basic,29.99,26,No,no,18-24,Google,False,2025-06,False
48,2025-05-16,Basic,29.99,23,No,no,35-44,Walk-in,False,2025-05,False
49,2025-11-06,Premium,59.99,10,Yes,no,35-44,Facebook,False,2025-11,False
50,2025-09-08,Student,24.99,2,No,yes,35-44,Instagram,True,2025-09,True
51,2025-01-02,Student,24.99,20,No,no,45-54,Facebook,False,2025-01,False
52,2025-08-07,Basic,29.99,2,No,no,55+,Instagram,False,2025-08,True
53,2025-07-09,Premium,59.99,4,Yes,no,35-44,Instagram,False,2025-07,False
54,2025-07-03,Premium,59.99,7,No,yes,35-44,Facebook,True,2025-07,False
55,2025-07-28,Premium,59.99,27,Yes,no,45-54,Instagram,False,2025-07,False
